"channel_name","location","channel_id","lat_long2","no_videos","wordcount"
"North Augusta SC 20/20 City Council Meetings Etc.","North Augusta, South Carolina","UCkwe765ru7YpKlWoeCj0DxA","(33.5018026, -81.9651152)",1,6523
"City of West Melbourne","West Melbourne, Florida","UC0rw9-ZqduSTcs6uBNU7_ag","(28.0716832, -80.65338779999999)",17,242240
"City Of Fort Morgan","Fort Morgan, Colorado","UCo7J2v3KqEOx45rG-GxlJOg","(40.2502582, -103.7999509)",49,567941
"Putnam County TN Government","Cookeville, Tennessee","UC2D4OD-kL2jUOtpY0KHktFA","(36.1494165, -85.5229902)",56,258272
"County Of Del Norte","Del Norte County, California","UC7jaWC4x7QAq1bgC2L-aYvw","(41.7076287, -123.9659708)",75,808018
"City Of Durant Council Chambers","Durant, Oklahoma","UCQO-_Crp48w7jN-mZ0oGGVQ","(33.992975, -96.378669)",20,240612
"Municipal Meeting","Lower Providence Township, Pennsylvania","UCYkaKwd_1OokRKlvteABFZQ","(40.1433257, -75.42281899999999)",123,1375575
"City of Lakewood","Lakewood, Washington","UC6kjNiFzrc9PwiTF_zTTaRQ","(47.1717649, -122.518458)",13,240917
"The City of Frederick","Frederick, Maryland","UCTig2g9-KiZFgNg8kYxeKXA","(39.41426879999999, -77.4105409)",147,263820
"City of Santa Maria, California","Santa Maria, California","UCAmcDZPVzV6jUnVIof3F7dw","(34.9530337, -120.4357191)",152,1163548
"WestminsterCO","Westminster, Colorado","UCJeyak1VUsnc1rPehZPNswg","(39.8366528, -105.0372046)",84,61894
"City of Galesburg, IL","Galesburg, Illinois","UCaRXtxhs0iGsSDksooZwC7g","(40.94781580000001, -90.3712395)",2,2880
"City of Haysville Kansas","Haysville, Kansas","UC3XUt81Il2JWijJiV6yqnNw","(37.5644615, -97.3522675)",58,213598
"City of Auburn, Maine","Auburn, Maine","UCn4hg3vz0ftbcLee4mz-1Dw","(44.0978509, -70.2311655)",9,71279
"Town of Lebanon","Lebanon, Maine","UCZV2ij7vU73Dh8C1JAI3QWQ","(43.40066969999999, -70.91937899999999)",11,90835
"SHTV1","Sterling Heights, Michigan","UC0n_eLFiW2cCJ_24TSn9DjA","(42.5803122, -83.0302033)",12,10455
"City of Belleville Council Meetings & Misc. videos","Belleville, Illinois","UCgQcRTdHErSn7yG1AP742Vg","(38.5122211, -89.9843597)",99,701958
"The Municipal Art Society of New York","New York, New York","UC85K3UNE3_ZnDaDJUOWwedw","(40.7589167, -73.9752018)",135,383234
"Port Orange Government Television","Port Orange, Florida","UCTYNmc7tZVRrB2NH5-Oj7hg","(29.1265036, -81.0207434)",34,258420
"Johnson County, KS Government","Olathe, Kansas","UCUMpFQU8E0ifkWVrRz46tyQ","(38.881448, -94.82008990000001)",238,965671
"Decatur, Indiana","Decatur, Indiana","UCYCQSTh8vJ2DEH8IrkbkD3g","(40.830603, -84.9291329)",5,3797
"City of Bellevue Nebraska","Bellevue, Nebraska","UCZc74_1IgTNR4-YuLknTAJw","(41.1543623, -95.9145568)",138,815686
"FridleyMunicipalTV","Fridley, Minnesota","UCgguNa9ShDCIeSXqFZbzphg","(45.084944, -93.26286089999999)",82,278780
"City of Nowthen MN","Nowthen, Minnesota","UCydgQQVA1NUIh3PUbWeZ04w","(45.3324984, -93.44670149999999)",119,1311262
"City of Longmont Colorado","Longmont, Colorado","UCH5_wkpLrKYb1JuUk6-UdNg","(40.1672068, -105.1019275)",224,1847557
"County of San Mateo","San Mateo County, California","UC2bWDXcW6FfdxVyR-V34oag","(37.4337342, -122.4014193)",15,26956
"City of Casper, Wyoming","Casper, Wyoming","UCK-zvDPcmvu0mPRD2LPc6ng","(42.8500769, -106.3251749)",106,1477011
"City of Springfield MA","Springfield, Massachusetts","UCKWQmyAdZvtvGGN6rAFNJcA","(42.1014831, -72.589811)",10,7985
"City of Sherwood","Sherwood, Oregon","UC4hM1ujLIVpZAqSr0vM0Z7g","(45.3562638, -122.8402122)",142,1392696
"City of Idaho Falls","Idaho Falls, Idaho","UCE2S6lYv_OBcXSLi1drW8Ng","(43.49266069999999, -112.0407584)",19,11786
"Rutherford County Government","Murfreesboro, Tennessee","UCGdwu25OPaVj086VWWKtf1A","(35.822984, -86.3966562)",1153,8516795
"City of River Falls","River Falls, Wisconsin","UCoLgQPc-xuxbXrce-2ume-w","(44.8613563, -92.6238082)",14,39228
"City of Evanston, IL","Evanston, Illinois","UChIEhm-DpDtCj0aEKKe_O9A","(42.0450722, -87.68769689999999)",201,540070
"City Of Mayer, MN","Mayer, Minnesota","UC76IJmnDuxPuOAjO_qTvuOQ","(44.8849625, -93.88774529999999)",55,507894
"Marshall County Iowa","Marshall County, Iowa","UC2SRE_isBm8PyHrZNXf3nsA","(42.0407088, -92.9375739)",80,474455
"FultonCountyGovernment","Atlanta, Georgia","UCBdfjTes0C4KkKzXyKiK9zw","(33.751422, -84.39144329999999)",140,34646
"WoodburyCountyIowa","Woodbury County, Iowa","UC7eJFP8TlXCX8V3sDDaePBA","(42.3166158, -95.9832577)",144,935777
"Kansas City, Mo. City Communications","Kansas City, Missouri","UCYYgwhGr1HSqRi_h5uPF2Kg","(39.0083059, -94.4579961)",720,1406750
"City of Enterprise","Enterprise, Alabama","UCcNWtA7WWkhBthBak26TXnQ","(31.3151708, -85.85521609999999)",15,10830
"City of Bristol, VA","Bristol, Virginia","UCsXxrQvvnpoAC60lEn67FhQ","(36.595141, -82.1888089)",48,678150
"VirginiaBeachTV","Virginia Beach, Virginia","UCe1QmZhxHuuZuUdQ9FtzTcA","(36.824443, -76.054352)",420,771592
"City of El Monte CA Government","El Monte, California","UCTnXHhiP0BUIOeo3mGSZ4rg","(34.0682658, -118.0616936)",2,5735
"Warren County, Virginia","Warren County, Virginia","UC4VkJGpBCNGqrwOEuxZSQoQ","(38.9331749, -78.24761459999999)",62,734941
"ILSpringfield","Springfield, Illinois","UCA6i8iv1zPHXx-sfI6DYF1w","(39.78172130000001, -89.6501481)",351,1744317
"DurhamSWCD","Durham, North Carolina","UCMltA0_udTzJ1BXvhKR4WJw","(36.0045172, -78.90172609999999)",3,2552
"The Town of Lexington","Lexington, South Carolina","UCsor0AoZVy2UvAW52JOlbxA","(33.9815369, -81.2362107)",52,234044
"BEDFORD TOWNSHIP GOVERNMENT CENTER","Temperance, Michigan","UCb8mpGZJzyC5LmYOC2VKSvQ","(41.7630647, -83.5852664)",55,578236
"Indiana Counties","Indianapolis, Indiana","UChhq084D5FyZpN1i2MRccDA","(39.7697008, -86.1602262)",22,53365
"Mitchell, SD","Mitchell, South Dakota","UCOdLoS0nXWs5c1ejBbdrZNQ","(43.7094283, -98.0297992)",89,856575
"CityofChulaVista","Chula Vista, California","UCGCeNmeSButuOp4yFCIh9Iw","(32.6400541, -117.0841955)",9,2129
"City of Liberty Lake, WA","Liberty Lake, Washington","UCP0FovX6g8NG4J5wKDLt62A","(47.6743428, -117.1124241)",21,274431
"Akron City Council","Akron, Ohio","UCTRzlObsoxdg6IFgWSFCOgA","(41.0806037, -81.518214)",57,423013
"City of New Carlisle","New Carlisle, Ohio","UChfm1EBjjw6A2GbexgDZ_ag","(39.9361699, -84.0254913)",78,508420
"Cityof Wayne","Wayne, Michigan","UCwr-VD-I64VKtBOqg6jNXxQ","(42.2814269, -83.3863214)",40,582551
"KaysvilleCity","Kaysville, Utah","UCtH-iKmjfeXat6K2wOetoZQ","(41.0352216, -111.9385521)",14,15378
"LWVSJC","Sacramento, California","UC0xqyjb977v3IXocgTSD2_g","(38.58017359999999, -121.4918435)",5,28218
"Salt Lake City Television","Salt Lake City, Utah","UCUzanlS6hJadbrMqnO_iofQ","(40.7324576, -111.9513477)",18,21195
"City of Brandon, SD","Brandon, South Dakota","UCkupAgckAKVqifovUqXw_TQ","(43.5946963, -96.5719896)",67,747120
"City of Kerrville - Government","Kerrville, Texas","UCRt2JqXbobR1471dyOn5MJA","(30.0469117, -99.1409022)",198,1337653
"cityofsantafe","Santa Fe, New Mexico","UCTgU_rclEQSW7XN-sgaCUBA","(35.6869752, -105.937799)",266,485457
"City of Ashland, KY","Ashland, Kentucky","UCyq2LQ4SfzpLNVVsiOXG35w","(38.4784144, -82.63793869999999)",1,9351
"City of Waverly","Waverly, Iowa","UCmAJkXjXePDZKkxPOPpeJpQ","(42.7272032, -92.4668511)",124,1331485
"Laramie, Wyoming - City Government","Laramie, Wyoming","UCtoowHqhTpkeVR14Rey_VGQ","(41.3116389, -105.5918231)",44,598837
"City of Portage","Portage, Indiana","UCF2Ug3N2isAYPqthE20LMTQ","(41.5758707, -87.1761455)",2,11355
"Washington State Auditor’s Office","Olympia, Washington","UCoqV43R7JgM1q7WWi26Sorw","(47.0358904, -122.9033286)",40,26526
"City of Sunnyside Washington","Sunnyside, Washington","UC7fq6y2MjcYTA-GBSTnXiuA","(46.3237423, -120.0086538)",16,60323
"City of Reno","Reno, Nevada","UClQT7q90igEYqA17nm-WwhQ","(39.5296329, -119.8138027)",797,1300210
"LBTV Long Beach, CA","Long Beach, California","UC9tkCWoykFdl-Z-JHSA3ATw","(33.7700504, -118.1937395)",27,22250
"City of Moundridge","Moundridge, Kansas","UCSnGSURxMyO02DQK17O7xJg","(38.203065, -97.5192065)",16,3243
"Hoover, Alabama","Hoover, Alabama","UCEtvZ4p5toQc9p3XH2OTm9g","(33.4053867, -86.8113781)",58,26951
"City of Little Rock","Little Rock, Arkansas","UCoRn4kpi78zlnEN6deMwlQw","(34.7464809, -92.28959479999999)",291,1825110
"CSBTV20","California, US","UC0MKBRS7teISJ5iGufoc_Iw","(36.778261, -119.4179324)",7,154034
"City of La Quinta","La Quinta, California","UCG54GVUvLwUvZPCx596LbkQ","(33.6633573, -116.3100095)",6,1916
"LNKTV City","Lincoln, Nebraska","UCeRPazmGKkWc28SK3si9xWA","(40.813616, -96.7025955)",746,4367613
"Troy Michigan","Troy, Michigan","UCm0tMiLQNPvL4Sz0CTjVYFg","(42.6064095, -83.1497751)",166,1791602
"City of Freeport ILL","Freeport, Illinois","UCPtSul497oxrsjhrn_qhiMw","(42.2966861, -89.6212271)",26,214312
"Clean Water Initiative","Vermont, US","UCcE3IVErioHtVMqAeBLVDZQ","(44.5588028, -72.57784149999999)",32,199412
"Watch Berkeley Gov","Berkeley, California","UCHiRuLn-_8Fk1XMK8W7oP3w","(37.8715926, -122.272747)",159,1377035
"City of Oroville","Oroville, California","UCAoRW34swYl85UBfYqT7IbQ","(39.5137752, -121.556359)",37,343660
"Prevention Institute","Oakland, California","UCVpEtO68Hz0k2vuHWQMJFQQ","(37.7933258, -122.2678571)",45,44621
"Washington State Government","Olympia, Washington","UCsuYgYm8vWyUNUfI3CMzuSQ","(47.037292, -122.897613)",208,881710
"City of Rochester Building Safety","Rochester, Minnesota","UCecGEc0sA9c2rr36BETWxiQ","(44.0242437, -92.43130289999999)",7,65058
"City of Iola, Kansas","Iola, Kansas","UCv4LYM8hh3qeJL32-kR2moA","(37.9244799, -95.3999814)",79,648781
"Winnebago County, Iowa","Winnebago County, Iowa","UCRYede2wUgnmNZpYlSRCDDg","(43.3481922, -93.66232389999999)",43,340056
"Municipal Employees' Retirement System of Michigan","Lansing, Michigan","UCnyUp57EJdcQNfbrD9lm77w","(42.721095, -84.648632)",26,107967
"Morris Minnesota City Government","Morris, Minnesota","UCBEIGAZ0NE9wZwzveonGqgA","(45.5879479, -95.91012409999999)",3,18831
"Town of Rome Wisconsin","Nekoosa, Wisconsin","UC4c0rhMyFqU3QhLrIvqmyBA","(44.2218879, -89.8092904)",17,192489
"Groton Municipal Television","Groton, Connecticut","UCBk-9Ahudi4nbh26x3jZxlA","(41.3497456, -72.0790717)",116,560488
"City of Midland, Michigan","Midland, Michigan","UCjShycow9Ksl3jU9N8lVfPQ","(43.6155825, -84.2472116)",323,188494
"City of Columbus","Columbus, Ohio","UCfttJJ9T5_1W1JewiTJqzqA","(39.9611755, -82.99879419999999)",298,1382539
"Montgomery County TN Government","Clarksville, Tennessee","UColCy-INQM4uZSqrJCeHTGg","(36.5268057, -87.3579623)",65,446826
"City of Cloverdale, Cloverdale, CA","Cloverdale, California","UCDSDDT0okjoOrRhJaetPRbQ","(38.8054624, -123.0172227)",27,384146
"City of Bakersfield, CA.","Bakersfield, California","UCk3BaR0DdO7j_bZSKnIEK4w","(35.3732921, -119.0187125)",106,779529
"Haltom City, Texas","Haltom City, Texas","UCTQ7EcoJXKB8n0Bv6tItjXQ","(32.7995738, -97.26918169999999)",2,40407
"Warren County Board of Supervisors","Vicksburg, Mississippi","UCPx4uFe9iTsgC7dZrpKfw1A","(32.353067, -90.87843620000001)",1,1119
"Mississippi Department of Transportation","Jackson, Mississippi","UCAZJpbHAIyVea2lY2sJBvZQ","(32.3275393, -90.181474)",111,31842
"City of Park City","Park City, Kansas","UCKWmOfUwmKPzAyvzvEvhs5A","(37.8000123, -97.31837619999999)",45,416422
"showmecity","Missouri City, Texas","UCpaZmht_7_Zvunux1zkDt0w","(29.6185669, -95.5377215)",238,444878
"City of Aberdeen","Aberdeen, South Dakota","UC2WDoaiGN9nFc1Zb4pyfpyw","(45.4646985, -98.4864829)",70,348968
"City of Santa Rosa, California","Santa Rosa, California","UChF7Zl4VNfZFm-IUdtX6B_A","(38.440429, -122.7140548)",108,1403611
"TarrantCountyTX","Tarrant County, Texas","UCreZ2-bXXetuRiKZAtXcNNA","(32.7732044, -97.35165579999999)",38,253794
"City of Moore, Oklahoma","Moore, Oklahoma","UCak9ErtW71dyEoj7TmLlqHw","(35.3395079, -97.48670279999999)",330,848739
"City of Murfreesboro, TN - Government","Murfreesboro, Tennessee","UCbOkz_e8N4rIFiZkmWTkf8g","(35.844432, -86.393051)",1124,1955393
"Falmouth Maine","Falmouth, Maine","UCHeGX1GVbkUOB-KSASNDvQw","(43.7435343, -70.2601759)",25,29363
"IndianaGovernment","Indianapolis, Indiana","UCozYWNqZFDoraG0emqv5pxg","(39.76906899999999, -86.164862)",8,23512
"RevereTV","Revere, Massachusetts","UCGl4hREwgcCQxKA52C7Y_Bg","(42.410139, -71.01202540000001)",622,1676186
"Default Name","New Hampshire, US","UCkEAENbr83XdYgNYXG1ZJMw","(43.1938516, -71.5723953)",1,5844
"KingCountyTV","Seattle, Washington","UCmsDL2CRIMtE1I6-eZqEx4g","(47.590017, -122.3344614)",66,234748
"City of Jacksonville, Alabama","Jacksonville, Alabama","UCvjFmKc5lozHgaRQ6wB8D_Q","(33.8137125, -85.76135359999999)",83,430505
"City of Georgetown","Georgetown, Kentucky","UCZeRkYcroXWINV1rkHVlhzw","(38.2097967, -84.55883109999999)",66,684430
"City of Irondale Alabama Media Channel","Irondale, Alabama","UCGKMIsxUusCwlTEQpaKBs1Q","(33.5381601, -86.70721019999999)",23,88300
"mohavecountyus","Mohave County, Arizona","UCxpmqlXxz7UYF9ol80H7dEQ","(35.2143346, -113.7632828)",17,167932
"pcctv1","Clearwater, Florida","UCXRyq4zJBFhs8zpTiIGQL5Q","(27.9616958, -82.8013817)",4,1866
"West Virginia Judiciary","Charleston, West Virginia","UC_zHDYG-Whdzh7nQPyfsItg","(38.3368502, -81.6111525)",76,577115
"CCG TV","Columbus, Georgia","UC3gct-vKDbdIuF1ZTAvtOhA","(32.4609764, -84.9877094)",247,1977389
"Town of Apple Valley Utah","Apple Valley, Utah","UCxfcnSqTRCiZPLqABwMXslQ","(37.10441550000001, -113.1251775)",3,32368
"DuPage County, Illinois","Dupage County, Illinois","UC45ol-gzYfebGvZ3OLhzClA","(41.8243831, -88.0900762)",30,41618
"City of Punta Gorda","Punta Gorda, Florida","UC-Qo-k4PpXWo4IJQah6_Kqw","(26.9297836, -82.0453664)",236,1517278
"City of Beaumont, Ca","Beaumont, California","UCvvsX3mVAdUeT7KLJnFgHYA","(33.9294606, -116.977248)",104,1061676
"Amherst Council Clerk","Amherst, Ohio","UCVbdl2V5DTld5jQ-TSnz5cw","(41.39825099999999, -82.227454)",87,351302
"City of Colonial Heights, Virginia","Colonial Heights, Virginia","UC1tsRrPU64271-CaggUfUmA","(37.244039, -77.4102607)",9,18984
"West Jordan","West Jordan, Utah","UC7Up4AfoWj0KebppgTvnLSg","(40.6096698, -111.9391031)",145,1695026
"City of Hot Springs, Arkansas Government","Hot Springs, Arkansas","UCvSlS0dSXw_50XhzT9E_kMA","(34.5037004, -93.0551795)",172,706134
"City of Texas City","Texas City, Texas","UCdQS7VQBfII7oORQr99sh9g","(29.383845, -94.9027002)",25,20417
"cityofmesquitetexas","Mesquite, Texas","UCISuuU-1AZXnm0-k_2sfJOQ","(32.76679550000001, -96.5991593)",4,6405
"HardinCountyIA","Hardin County, Iowa","UCldvOvGdfCT76xAGFpJ5u7Q","(42.4285425, -93.17796589999999)",116,397607
"Cedar City, Utah - City Council","Cedar City, Utah","UCvv1r4z0JQJjAIgeLmMGmbA","(37.6777847, -113.0610041)",34,329945
"Essex County New York","Essex County, New Jersey","UCUTiUCto7MsxIbqK5M1rMrA","(40.7947466, -74.2648829)",106,362244
"Newark City Council","Newark, Ohio","UCWZ28Fau9gZ1D0U8F2L6UKg","(40.057701, -82.4040069)",203,1184678
"CityofLeagueCityTX","League City, Texas","UCRyTPtc3XEWCGGpT7ddmcJg","(29.5074538, -95.0949303)",21,4956
"City of Stayton","Stayton, Oregon","UCVALQZk-x5ZMWOCGh_fKPtg","(44.8006775, -122.7945333)",47,459180
"City of Guthrie Oklahoma","Guthrie, Oklahoma","UCXgtbXE9AmzOLEYm1wxe6tg","(35.878937, -97.42531849999999)",645,2205474
"City of Sherwood Arkansas","Sherwood, Arkansas","UCF1JLn4XfEMB_403o-gj7PQ","(34.8150907, -92.2243153)",38,191536
"City of Huntington, Indiana","Huntington, Indiana","UC8hwdT9hgRsEUzl-aPlM1vA","(40.8831011, -85.49747599999999)",5,2992
"City of Lowell","Lowell, Michigan","UCeObjQ4b9fmrV22EiBb5KSA","(42.9336426, -85.34196089999999)",172,840881
"City of Brighton, CO (KBRI-8)","Brighton, Colorado","UC7fxHV_KyittFb3M9jDbBGA","(39.9852617, -104.8205283)",86,239781
"City Of Cortez Council Meetings","Cortez, Colorado","UCuJXUzV7IZDST9p2BLMGA7g","(37.3503413, -108.5695371)",44,343695
"MetroNashville","Nashville, Tennessee","UCKpWDnPeJ9IQ9Sx7AfBORhg","(36.171835, -86.78063069999999)",477,1187453
"City of Dover, Delaware","Dover, Delaware","UCE48l9y073rRIXVx9EbLCpA","(39.158168, -75.5243682)",23,124833
"Town of Waxhaw NC","Waxhaw, North Carolina","UCaVNojVBJdyFHzC1zkvhK7w","(34.9245935, -80.7434019)",86,428705
"The Official City Of DeKalb, Illinois Municipal Government Video Channel","DeKalb, Illinois","UC_zpA4Z-yzeySUyvi44cZiQ","(41.928178, -88.7503978)",176,1696763
"PlattevilleWISC","Platteville, Wisconsin","UC6UORZ8U7NlaS3giNhyuAaA","(42.73416, -90.4784621)",88,629718
"centervillecityutah","Centerville, Utah","UCqZ-L_LnFpbGbsBRKz4QFHA","(40.9180005, -111.8721601)",88,1368533
"City of Kingman","Kingman, Arizona","UCCefFg5UL6weXKr-wenyHVQ","(35.189443, -114.0530065)",9,26564
"City of Albany, Oregon","Albany, Oregon","UCbJgGQBiWbOMvpHnGbMLa8w","(44.6365107, -123.1059282)",19,44973
"Provo City Council","Provo, Utah","UC1yR7j8igrjxXOR0XsCasfw","(40.233174, -111.664711)",47,475294
"WaterlooCommunityTV","Waterloo, Iowa","UCykjSisg4jbUpxXoEIOqw5A","(42.485517, -92.3334264)",347,3237035
"Town of Cary","Cary, North Carolina","UCFO7o7pWJ05YPZH6-T0hiyw","(35.79154, -78.7811169)",355,1485881
"City of Albion","Albion, Michigan","UCIsBR9GwwVJIL2wyGJCiXfg","(42.243097, -84.7530304)",7,42431
"City of Savannah","Savannah, Georgia","UCNaTc-Sjmlyby6XoBK8ZtrQ","(32.0808989, -81.091203)",327,756800
"Webster Massachusetts","Webster, Massachusetts","UC1GDU6rDxjb7u7c9NnBm8qw","(42.05009099999999, -71.88006279999999)",75,688583
"Town of New Milford","New Milford, Connecticut","UCy-PHUq7KONS5ytwwbiyMdA","(41.5778088, -73.4101187)",54,604522
"Millville Cable Access","Millville, Massachusetts","UCUmDFf-Vh4YhDiMqAnaMsug","(42.0278756, -71.5808973)",13,153796
"St. Louis County","St Louis County, Missouri","UC2zQKsLDopMP6vAxDzAD0gw","(38.6103023, -90.4125181)",7,9070
"Pembroke Pines Media","Pembroke Pines, Florida","UC5C4-X_lLc_8dZ3pJzYRkZA","(26.0274521, -80.34878549999999)",73,124018
"CityofErie","Erie, Pennsylvania","UCQuw9_BuK-LGyRIOygHdkWw","(42.12922409999999, -80.085059)",304,3003460
"NEK-TV Newport, VT","Newport, Vermont","UCKV7WVHOpRCBCwKh6P_O7iw","(44.9346445, -72.2133462)",32,326522
"CalaverasCommunityTV","Angels Camp, California","UCBa_xGTLZoFxsXKD_T506Qw","(38.0696456, -120.5406678)",608,5204415
"City of New Ulm, MN","New Ulm, Minnesota","UCe4BSgVG_mRBNvu9HThuxnw","(44.3144394, -94.45930179999999)",380,2098042
"Alabama Together","Alabama, US","UCDWgz3YCxKXKbV9fGstbeLw","(32.3182314, -86.902298)",5,1961
"SEMCOG, the Southeast Michigan Council of Governments","Detroit, Michigan","UCr0wxe2H-pgsBP8ag_HPNHQ","(42.332029, -83.0476)",36,27128
"Story County, Iowa","Story County, Iowa","UCTLajnmHYlpovDrzvgi0hMw","(42.1040438, -93.5003454)",50,375653
"City Of Sebastian","Sebastian, Florida","UCpzAJigyTTM4gsU8NrjakIw","(27.816415, -80.4706078)",176,1682821
"Virginia Government","Richmond, Virginia","UCJmtQnnG2MwpHnSMzVj0siQ","(37.5392253, -77.4319501)",125,420512
"Overlook NM","Placitas, New Mexico","UCzdNUVVmpA4paSfwJUGjaLQ","(35.3069845, -106.4486358)",16,8348
"Oconee County GA Government","Watkinsville, Georgia","UCwmtvTm8RGjiwmHUO8DP1mw","(33.855574, -83.39978049999999)",9,2063
"Town of Emmitsburg","Emmitsburg, Maryland","UC17xHnkC_VLkirblkEBdIDQ","(39.7045417, -77.32693069999999)",54,308790
"City of Battle Ground, WA","Battle Ground, Washington","UCdncPb-Uoz18wrk91zGhBig","(45.7806939, -122.5475467)",1,4336
"montgomeryva","Montgomery County, Virginia","UC4309B4P5WeQPjmZze1NUSw","(37.2070304, -80.4103957)",218,1757787
"Boone County, IL Government","Belvidere, Illinois","UCHPpw58YhZQALqaKm1inNpA","(42.2539351, -88.82470459999999)",11,134241
"Marysville City Hall","Marysville, Kansas","UCrPPJ9eQiOxWf3ZisFjK3qQ","(39.842909, -96.648336)",35,643724
"Town of Vernon","Vernon, Connecticut","UCYtqAAiyly9HwdaX6MHmDTg","(41.8186802, -72.47903699999999)",5,49626
"County Supervisors Association of Arizona","Phoenix, Arizona","UClaFI77eHUaMVsDH4uiQzFQ","(33.4476418, -112.1008513)",5,10270
"City of Marion Ohio","Marion, Ohio","UCyKE64OZ0-ACD-5N6oaC-Yw","(40.5886699, -83.1285242)",22,126162
"CHANNEL 17/ TOWN MEETING TV","Burlington, Vermont","UCJkWMLSqRNKLoyUZQiNoAcQ","(44.48777330000001, -73.20746150000001)",355,1086051
"LivoniaTV","Livonia, Michigan","UC81D_yBDdwEXucKYYvCnXOQ","(42.3959845, -83.37006509999999)",141,506438
"Iowa Counties","West Des Moines, Iowa","UCLHmerxoha95Oif5ubraYwA","(41.59464800000001, -93.78072999999999)",20,106308
"City of Crestview","Crestview, Florida","UC6c0B22M2HhR57yJT3OPGyw","(30.7541808, -86.5727995)",17,97479
"City of Charleston SC","Charleston, South Carolina","UCxDws_o-1voXBNOAZ17gZxw","(32.7764749, -79.93105120000001)",32,319911
"City of Saginaw, MI","Saginaw, Michigan","UCTezqtA8UmUTHS_s4F9-Hpw","(43.4194699, -83.9508068)",140,821630
"New Jersey Government","Trenton, New Jersey","UCUsNf-kiBIzayz14C59tKUQ","(40.218798, -74.764752)",816,550018
"City of Mobile, AL","Mobile, Alabama","UCdLrEwf3ewSNmCNm21fVfNg","(30.6953657, -88.0398912)",159,1365532
"Town of Rising Sun","Rising Sun, Maryland","UCVhXWOvvPRbCJ24IyH2tZyg","(39.6978871, -76.06272659999999)",76,414238
"Town of Coventry Rhode Island","Coventry, Rhode Island","UC-C8lpWeCKplTv8DDVh64aA","(41.6885978, -71.5642076)",35,543529
"East Windsor CT","East Windsor, Connecticut","UCgNSFYXWvjpaYULSt-XoZOA","(41.9161361, -72.5578799)",30,442605
"Unified Government of Wyandotte County / Kansas City, KS","Kansas City, Kansas","UC64VEdFxbNUAkmtYHwXwoJA","(39.1129848, -94.62542409999999)",3,7342
"Wallingford Government Television","Wallingford, Connecticut","UCdWP8OnNWc1nyrtewoqYRpQ","(41.4864179, -72.7907814)",125,1303182
"City of Columbia","Columbia, South Carolina","UC6-Zkaz4V41CKJRyqTNAzTg","(34.0007104, -81.0348144)",290,389785
"Will County Board","Joliet, Illinois","UCfyLcOmTH_aH_aIgCtUgnBg","(41.5300049, -88.08104469999999)",84,713315
"ClarkCountyNV","Clark County, Nevada","UCjTkV9P9szNXPht8tJKl0aw","(36.0795613, -115.094045)",12,4672
"City of Irvine","Irvine, California","UClqzzO7LI1d8KB20gwDnd0g","(33.6845673, -117.8265049)",23,14585
"Carroll County, Virginia","Carroll County, Virginia","UC0g49JAgfj_NkbR6eDtgdyw","(36.6778699, -80.7214417)",3,1967
"CityofGulfport FL","Gulfport, Florida","UCMcHz3QnFbjgo_QVvyJYDMQ","(27.7483613, -82.7034334)",114,147252
"City of Nogales Arizona","Nogales, Arizona","UC2CaTc0tirQupKj3y2zIQSg","(31.3403775, -110.9342532)",81,609372
"Oklahoma County","Oklahoma County, Oklahoma","UCz_5jEcl6kV8f6Y71exwfJA","(35.6038323, -97.35165579999999)",173,813754
"Taneytown MD","Taneytown, Maryland","UCQ7oudT2tx4u4P81ClUD6Hg","(39.6578773, -77.1744279)",104,727193
"Columbus Municipal School District - MS","Columbus Municipal School District, Mississippi","UC5aQEWlv0bv0RfURb9dIEeA","(33.5403856, -88.4210006)",36,332582
"City of Las Vegas, New Mexico","Las Vegas, New Mexico","UCNGDVGRRAL0qVevel5JYeRw","(35.5942137, -105.2227978)",27,218915
"CRTL Idaho","Idaho Falls, Idaho","UCNgX63P-NrTDkW1b57j23jA","(43.448534, -112.082023)",6,12241
"Town of Brighton","Brighton, New York","UCRac-30bEStYoqUvi6HkiWw","(43.1222716, -77.57340479999999)",42,483972
"City of Calhoun, GA","Calhoun, Georgia","UCFPzDB48ZQ6IAF_z0NQBPKQ","(34.502587, -84.9510542)",27,177765
"City of Marshall, MN - Studio 1 TV","Marshall, Minnesota","UCQN3dBrZlxrHNc6G0HTnIZA","(44.454693, -95.758934)",192,1331087
"City of Salida Colorado","Salida, Colorado","UCmmG6TTREbWPiGhQK_Jy1Ig","(38.5347193, -105.9989022)",173,2044964
"City of Bonner Springs, Kansas","Bonner Springs, Kansas","UCyUl-B3mt386DdFgJqYfFyg","(39.059726, -94.8835754)",35,222764
"collincountygovt","McKinney, Texas","UC-E9aeShO9W7onfC1AoIwzw","(33.241749, -96.6318)",1,1104
"City of Jackson, MS - Government","Jackson, Mississippi","UCqo3szaVkdRjZ1cw1kKZktg","(32.2981176, -90.1819512)",31,77572
"City of Edwardsville, KS - Government","Edwardsville, Kansas","UC2M-zO1Jcwm4YOjbxFhdNAA","(39.0562158, -94.82191519999999)",32,240807
"City of Madison Wisconsin","Madison, Wisconsin","UC3IAPMgYfaBEJ5eeqbvWkzQ","(43.0730517, -89.4012302)",111,389334
"Portsmouth, Virginia","Portsmouth, Virginia","UCZLXNtcdwwjECrPg6YrTiYg","(36.8354258, -76.2982742)",489,3150815
