,channel_name,location,channel_id,lat_long2,no_videos,wordcount,mean_syl_sec
373,CityofErie,"Erie, Pennsylvania",UCQuw9_BuK-LGyRIOygHdkWw,"(42.12922409999999, -80.085059)",304,3003460,5.008639982720409
374,"NEK-TV Newport, VT","Newport, Vermont",UCKV7WVHOpRCBCwKh6P_O7iw,"(44.9346445, -72.2133462)",32,326522,5.006357073092941
375,CalaverasCommunityTV,"Angels Camp, California",UCBa_xGTLZoFxsXKD_T506Qw,"(38.0696456, -120.5406678)",608,5204415,5.004141545842949
376,"City of New Ulm, MN","New Ulm, Minnesota",UCe4BSgVG_mRBNvu9HThuxnw,"(44.3144394, -94.45930179999999)",380,2098042,5.0040607812794695
377,Alabama Together,"Alabama, US",UCDWgz3YCxKXKbV9fGstbeLw,"(32.3182314, -86.902298)",5,1961,5.002127276547977
378,"SEMCOG, the Southeast Michigan Council of Governments","Detroit, Michigan",UCr0wxe2H-pgsBP8ag_HPNHQ,"(42.332029, -83.0476)",36,27128,5.000885142524068
379,"Story County, Iowa","Story County, Iowa",UCTLajnmHYlpovDrzvgi0hMw,"(42.1040438, -93.5003454)",50,375653,4.999836630078163
380,City Of Sebastian,"Sebastian, Florida",UCpzAJigyTTM4gsU8NrjakIw,"(27.816415, -80.4706078)",176,1682821,4.9992547959197395
381,Virginia Government,"Richmond, Virginia",UCJmtQnnG2MwpHnSMzVj0siQ,"(37.5392253, -77.4319501)",125,420512,4.9982483690646236
382,Overlook NM,"Placitas, New Mexico",UCzdNUVVmpA4paSfwJUGjaLQ,"(35.3069845, -106.4486358)",16,8348,4.996370449486835
383,Oconee County GA Government,"Watkinsville, Georgia",UCwmtvTm8RGjiwmHUO8DP1mw,"(33.855574, -83.39978049999999)",9,2063,4.995439178713134
384,Town of Emmitsburg,"Emmitsburg, Maryland",UC17xHnkC_VLkirblkEBdIDQ,"(39.7045417, -77.32693069999999)",54,308790,4.994271160624958
385,"City of Battle Ground, WA","Battle Ground, Washington",UCdncPb-Uoz18wrk91zGhBig,"(45.7806939, -122.5475467)",1,4336,4.991686130177464
386,montgomeryva,"Montgomery County, Virginia",UC4309B4P5WeQPjmZze1NUSw,"(37.2070304, -80.4103957)",218,1757787,4.990934660056809
387,"Boone County, IL Government","Belvidere, Illinois",UCHPpw58YhZQALqaKm1inNpA,"(42.2539351, -88.82470459999999)",11,134241,4.990467012038326
388,Marysville City Hall,"Marysville, Kansas",UCrPPJ9eQiOxWf3ZisFjK3qQ,"(39.842909, -96.648336)",35,643724,4.99013473640392
389,Town of Vernon,"Vernon, Connecticut",UCYtqAAiyly9HwdaX6MHmDTg,"(41.8186802, -72.47903699999999)",5,49626,4.9893861812120495
390,County Supervisors Association of Arizona,"Phoenix, Arizona",UClaFI77eHUaMVsDH4uiQzFQ,"(33.4476418, -112.1008513)",5,10270,4.9891733220329915
391,City of Marion Ohio,"Marion, Ohio",UCyKE64OZ0-ACD-5N6oaC-Yw,"(40.5886699, -83.1285242)",22,126162,4.986361083979421
392,CHANNEL 17/ TOWN MEETING TV,"Burlington, Vermont",UCJkWMLSqRNKLoyUZQiNoAcQ,"(44.48777330000001, -73.20746150000001)",355,1086051,4.985916134570489
393,LivoniaTV,"Livonia, Michigan",UC81D_yBDdwEXucKYYvCnXOQ,"(42.3959845, -83.37006509999999)",141,506438,4.984814569369557
394,Iowa Counties,"West Des Moines, Iowa",UCLHmerxoha95Oif5ubraYwA,"(41.59464800000001, -93.78072999999999)",20,106308,4.984683811150904
395,City of Crestview,"Crestview, Florida",UC6c0B22M2HhR57yJT3OPGyw,"(30.7541808, -86.5727995)",17,97479,4.984375196816584
396,City of Charleston SC,"Charleston, South Carolina",UCxDws_o-1voXBNOAZ17gZxw,"(32.7764749, -79.93105120000001)",32,319911,4.983148203353327
397,"City of Saginaw, MI","Saginaw, Michigan",UCTezqtA8UmUTHS_s4F9-Hpw,"(43.4194699, -83.9508068)",140,821630,4.980778538755734
398,New Jersey Government,"Trenton, New Jersey",UCUsNf-kiBIzayz14C59tKUQ,"(40.218798, -74.764752)",816,550018,4.9801002421197715
399,"City of Mobile, AL","Mobile, Alabama",UCdLrEwf3ewSNmCNm21fVfNg,"(30.6953657, -88.0398912)",159,1365532,4.978242243885822
400,Town of Rising Sun,"Rising Sun, Maryland",UCVhXWOvvPRbCJ24IyH2tZyg,"(39.6978871, -76.06272659999999)",76,414238,4.97768606980267
401,Town of Coventry Rhode Island,"Coventry, Rhode Island",UC-C8lpWeCKplTv8DDVh64aA,"(41.6885978, -71.5642076)",35,543529,4.976685957862602
402,East Windsor CT,"East Windsor, Connecticut",UCgNSFYXWvjpaYULSt-XoZOA,"(41.9161361, -72.5578799)",30,442605,4.971418721854433
403,"Unified Government of Wyandotte County / Kansas City, KS","Kansas City, Kansas",UC64VEdFxbNUAkmtYHwXwoJA,"(39.1129848, -94.62542409999999)",3,7342,4.96890365662382
404,Wallingford Government Television,"Wallingford, Connecticut",UCdWP8OnNWc1nyrtewoqYRpQ,"(41.4864179, -72.7907814)",125,1303182,4.968844670184896
405,City of Columbia,"Columbia, South Carolina",UC6-Zkaz4V41CKJRyqTNAzTg,"(34.0007104, -81.0348144)",290,389785,4.968455030729571
406,Will County Board,"Joliet, Illinois",UCfyLcOmTH_aH_aIgCtUgnBg,"(41.5300049, -88.08104469999999)",84,713315,4.965873342102612
407,ClarkCountyNV,"Clark County, Nevada",UCjTkV9P9szNXPht8tJKl0aw,"(36.0795613, -115.094045)",12,4672,4.962879569680788
408,City of Irvine,"Irvine, California",UClqzzO7LI1d8KB20gwDnd0g,"(33.6845673, -117.8265049)",23,14585,4.96133064400975
409,"Carroll County, Virginia","Carroll County, Virginia",UC0g49JAgfj_NkbR6eDtgdyw,"(36.6778699, -80.7214417)",3,1967,4.96122720381624
410,CityofGulfport FL,"Gulfport, Florida",UCMcHz3QnFbjgo_QVvyJYDMQ,"(27.7483613, -82.7034334)",114,147252,4.958684457691999
411,City of Nogales Arizona,"Nogales, Arizona",UC2CaTc0tirQupKj3y2zIQSg,"(31.3403775, -110.9342532)",81,609372,4.95726495086509
412,Oklahoma County,"Oklahoma County, Oklahoma",UCz_5jEcl6kV8f6Y71exwfJA,"(35.6038323, -97.35165579999999)",173,813754,4.9571675866710105
413,Taneytown MD,"Taneytown, Maryland",UCQ7oudT2tx4u4P81ClUD6Hg,"(39.6578773, -77.1744279)",104,727193,4.953765714024015
414,Columbus Municipal School District - MS,"Columbus Municipal School District, Mississippi",UC5aQEWlv0bv0RfURb9dIEeA,"(33.5403856, -88.4210006)",36,332582,4.952189574350322
415,"City of Las Vegas, New Mexico","Las Vegas, New Mexico",UCNGDVGRRAL0qVevel5JYeRw,"(35.5942137, -105.2227978)",27,218915,4.952031186720337
416,CRTL Idaho,"Idaho Falls, Idaho",UCNgX63P-NrTDkW1b57j23jA,"(43.448534, -112.082023)",6,12241,4.9503969658646065
417,Town of Brighton,"Brighton, New York",UCRac-30bEStYoqUvi6HkiWw,"(43.1222716, -77.57340479999999)",42,483972,4.9489836979479005
418,"City of Calhoun, GA","Calhoun, Georgia",UCFPzDB48ZQ6IAF_z0NQBPKQ,"(34.502587, -84.9510542)",27,177765,4.948759680270054
419,"City of Marshall, MN - Studio 1 TV","Marshall, Minnesota",UCQN3dBrZlxrHNc6G0HTnIZA,"(44.454693, -95.758934)",192,1331087,4.945007047057255
420,City of Salida Colorado,"Salida, Colorado",UCmmG6TTREbWPiGhQK_Jy1Ig,"(38.5347193, -105.9989022)",173,2044964,4.944752303647485
421,"City of Bonner Springs, Kansas","Bonner Springs, Kansas",UCyUl-B3mt386DdFgJqYfFyg,"(39.059726, -94.8835754)",35,222764,4.944146690382467
422,collincountygovt,"McKinney, Texas",UC-E9aeShO9W7onfC1AoIwzw,"(33.241749, -96.6318)",1,1104,4.943350822656841
423,"City of Jackson, MS - Government","Jackson, Mississippi",UCqo3szaVkdRjZ1cw1kKZktg,"(32.2981176, -90.1819512)",31,77572,4.941581863408771
424,"City of Edwardsville, KS - Government","Edwardsville, Kansas",UC2M-zO1Jcwm4YOjbxFhdNAA,"(39.0562158, -94.82191519999999)",32,240807,4.940749649392628
425,City of Madison Wisconsin,"Madison, Wisconsin",UC3IAPMgYfaBEJ5eeqbvWkzQ,"(43.0730517, -89.4012302)",111,389334,4.9399653923423354
426,"Portsmouth, Virginia","Portsmouth, Virginia",UCZLXNtcdwwjECrPg6YrTiYg,"(36.8354258, -76.2982742)",489,3150815,4.939454357930037
427,FultonGovernmentTV,"Atlanta, Georgia",UCYH7E0jH6HxE-3KTRluH8SQ,"(33.7513931, -84.3913883)",58,170419,4.9388905511577015
428,MAofSC,"Columbia, South Carolina",UCy9fEYosYMZ8hHNjC5Ckcgw,"(34.0027059, -81.0298034)",75,21808,4.938174783696151
429,"City of Dublin, CA","Dublin, California",UCVxFLCImmHgKXs9RQkY6OkA,"(37.7021521, -121.9357918)",6,3475,4.93786264741735
430,"Exeter, Rhode Island","Exeter, Rhode Island",UC_0OoUlSPYRpwmRMpQ8-sCw,"(41.5750676, -71.5351476)",18,244307,4.93587678549547
431,"City of Beresford, South Dakota","Beresford, South Dakota",UCPY5tEeuWxpKG4zHoSzAPVg,"(43.0805446, -96.77365499999999)",3,8959,4.934700328332071
432,GOCC WISCONSIN,"Wisconsin, US",UCltp6NRcZoNXtHllH8VOMYQ,"(43.7844397, -88.7878678)",1,18932,4.933414566263927
433,Official City of Stonecrest Georgia,"Lithonia, Georgia",UCp3rYzHzhZvd9Y7Ruf1O6kg,"(33.6904766, -84.0838805)",11,126699,4.931394481714122
434,CityofPalmdale,"Palmdale, California",UCJHoqIwLNDlVFu7vZEJNkdA,"(34.5794343, -118.1164613)",2,6639,4.930756075707318
435,Larimer County Government,"Fort Collins, Colorado",UCTZ-neESjN8BeV_MKQEc5Uw,"(40.5865084, -105.0797411)",1,4761,4.929349535556202
436,Long Branch,"Long Branch, New Jersey",UCazWLOC-aO4snD-76P7IhbA,"(40.30427780000001, -73.9923596)",14,85253,4.925275600813598
437,"Ally Miller, Pima County District 1 Supervisor","Tucson, Arizona",UC79IZA1RmoYaLOFWLbqY2fQ,"(32.221975, -110.9736346)",283,588503,4.9239936817522985
438,Town of Old Saybrook Video Library,"Old Saybrook, Connecticut",UCwq-kallXEqCHOy9C35r34A,"(41.2902388, -72.3744107)",180,1289203,4.922738049669133
439,"Erie County, Pennsylvania - Government","Erie, Pennsylvania",UCDEhxGyYjgZkYrLb-NGeq2g,"(42.1291683, -80.0879985)",60,316021,4.9227113109527165
440,Vidalia Louisiana,"Vidalia, Louisiana",UCa6cbVaGERmEA6WGt33z-dg,"(31.5654441, -91.4259495)",73,254337,4.922000024353653
